Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   50.9059  -177.6586  1874.0784     0.1702    -0.8233     0.5416    -0.9844    -0.1666     0.0561     0.0440    -0.5427    -0.8388
   50.9289  -177.7755  1874.1552     0.1540    -0.8263     0.5418    -0.9805    -0.1957    -0.0198     0.1224    -0.5282    -0.8403
   50.9511  -177.9031  1874.2386     0.1338    -0.8305     0.5407    -0.9745    -0.2094    -0.0805     0.1801    -0.5162    -0.8374
   50.9670  -178.0093  1874.3075     0.1152    -0.8342     0.5394    -0.9829    -0.1743    -0.0597     0.1438    -0.5233    -0.8399
   50.9820  -178.1297  1874.3851     0.0931    -0.8376     0.5383    -0.9901    -0.1349    -0.0386     0.1050    -0.5294    -0.8419
   50.9948  -178.2629  1874.4704     0.0678    -0.8412     0.5364    -0.9834    -0.1470    -0.1062     0.1681    -0.5203    -0.8372
   51.0039  -178.4074  1874.5621     0.0380    -0.8447     0.5339    -0.9944    -0.0845    -0.0629     0.0982    -0.5285    -0.8432
   51.0078  -178.5613  1874.6590     0.0048    -0.8472     0.5313    -0.9937    -0.0635    -0.0924     0.1120    -0.5275    -0.8421
   51.0052  -178.7230  1874.7599    -0.0329    -0.8493     0.5269    -0.9899    -0.0452    -0.1347     0.1382    -0.5260    -0.8392
   50.9945  -178.8908  1874.8634    -0.0758    -0.8499     0.5214    -0.9927     0.0149    -0.1199     0.0941    -0.5267    -0.8448
   50.9745  -179.0628  1874.9684    -0.1222    -0.8483     0.5152    -0.9876     0.0522    -0.1483     0.0989    -0.5269    -0.8442
   50.9441  -179.2373  1875.0738    -0.1736    -0.8441     0.5072    -0.9818     0.1080    -0.1562     0.0771    -0.5251    -0.8475
   50.8989  -179.4238  1875.1853    -0.2346    -0.8354     0.4970    -0.9703     0.1707    -0.1711     0.0581    -0.5225    -0.8507

[Main Branch Set] Branch Segment 2:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   50.8989  -179.4238  1875.1853    -0.2269    -0.8375     0.4972    -0.9722     0.1645    -0.1666     0.0578    -0.5211    -0.8515
   50.8486  -179.5872  1875.2819    -0.2850    -0.8260     0.4863    -0.9569     0.2161    -0.1938     0.0550    -0.5206    -0.8520
   50.7822  -179.7595  1875.3829    -0.3455    -0.8105     0.4730    -0.9370     0.2700    -0.2218     0.0521    -0.5198    -0.8527
   50.7030  -179.9284  1875.4811    -0.4061    -0.7907     0.4582    -0.9133     0.3341    -0.2329     0.0311    -0.5130    -0.8578
   50.6110  -180.0926  1875.5760    -0.4662    -0.7664     0.4419    -0.8844     0.3926    -0.2522     0.0198    -0.5084    -0.8609
   50.5066  -180.2512  1875.6674    -0.5241    -0.7377     0.4255    -0.8514     0.4660    -0.2409    -0.0205    -0.4885    -0.8723
   50.3903  -180.4033  1875.7553    -0.5789    -0.7056     0.4086    -0.8152     0.5104    -0.2738    -0.0153    -0.4916    -0.8707
   50.2629  -180.5485  1875.8397    -0.6286    -0.6713     0.3927    -0.7741     0.5888    -0.2327    -0.0750    -0.4502    -0.8898
