Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   74.5224  -185.8370  1725.3645    -0.6661    -0.2116     0.7152     0.5089     0.5720     0.6432    -0.5453     0.7925    -0.2733
   74.4471  -185.8608  1725.4458    -0.6624    -0.2084     0.7195     0.6023     0.4230     0.6770    -0.4455     0.8818    -0.1547
   74.3648  -185.8866  1725.5359    -0.6570    -0.2054     0.7254     0.6608     0.3064     0.6852    -0.3630     0.9295    -0.0656
   74.2962  -185.9080  1725.6122    -0.6521    -0.2030     0.7305     0.6537     0.3375     0.6773    -0.3840     0.9192    -0.0874
   74.2182  -185.9322  1725.7003    -0.6464    -0.1998     0.7364     0.6398     0.3839     0.6658    -0.4157     0.9015    -0.1203
   74.1317  -185.9588  1725.7998    -0.6400    -0.1958     0.7430     0.6339     0.4118     0.6546    -0.4342     0.8900    -0.1395
   74.0376  -185.9874  1725.9101    -0.6333    -0.1910     0.7499     0.6073     0.4781     0.6346    -0.4797     0.8573    -0.1868
   73.9370  -186.0175  1726.0306    -0.6254    -0.1861     0.7578     0.6941     0.3110     0.6492    -0.3565     0.9320    -0.0653
   73.8308  -186.0489  1726.1609    -0.6167    -0.1806     0.7662     0.6106     0.5045     0.6104    -0.4968     0.8443    -0.2008
   73.7201  -186.0809  1726.3003    -0.6074    -0.1734     0.7753     0.6446     0.4628     0.6085    -0.4643     0.8693    -0.1693
   73.6059  -186.1131  1726.4482    -0.5971    -0.1663     0.7847     0.6661     0.4423     0.6006    -0.4470     0.8813    -0.1533
   73.4893  -186.1451  1726.6038    -0.5864    -0.1582     0.7944     0.6260     0.5340     0.5683    -0.5141     0.8306    -0.2141
   73.3712  -186.1763  1726.7664    -0.5748    -0.1485     0.8047     0.6426     0.5269     0.5563    -0.5066     0.8369    -0.2074
   73.2526  -186.2062  1726.9353    -0.5629    -0.1383     0.8149     0.6302     0.5661     0.5314    -0.5348     0.8126    -0.2315
   73.1341  -186.2345  1727.1098    -0.5503    -0.1275     0.8252     0.6552     0.5467     0.5214    -0.5176     0.8276    -0.2173
   73.0167  -186.2607  1727.2891    -0.5375    -0.1149     0.8354     0.5824     0.6659     0.4662    -0.6099     0.7371    -0.2910
   72.9008  -186.2843  1727.4724    -0.5249    -0.1016     0.8451     0.6325     0.6178     0.4672    -0.5695     0.7798    -0.2600
   72.7870  -186.3051  1727.6590    -0.5117    -0.0874     0.8547     0.5863     0.6917     0.4217    -0.6280     0.7169    -0.3027
