Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   -2.3270  -231.2757  1843.3288    -0.7290     0.0592    -0.6819     0.5321    -0.5776    -0.6190    -0.4305    -0.8142     0.3896
   -2.7326  -231.2477  1842.9411    -0.7134     0.0373    -0.6998     0.4646    -0.7224    -0.5122    -0.5246    -0.6905     0.4980
   -3.1606  -231.2376  1842.5052    -0.6852    -0.0081    -0.7283     0.4723    -0.7661    -0.4359    -0.5544    -0.6427     0.5288
   -3.5303  -231.2543  1842.0977    -0.6596    -0.0499    -0.7499     0.4750    -0.8009    -0.3646    -0.5824    -0.5967     0.5520
   -4.1373  -231.3363  1841.3723    -0.6101    -0.1374    -0.7803     0.4851    -0.8435    -0.2307    -0.6265    -0.5192     0.5813
   -4.5936  -231.4891  1840.7486    -0.5472    -0.2527    -0.7980     0.4640    -0.8850    -0.0380    -0.6966    -0.3911     0.6015
   -4.9888  -231.7340  1840.1370    -0.4784    -0.3901    -0.7868     0.4367    -0.8830     0.1722    -0.7619    -0.2612     0.5927
   -5.3165  -232.0794  1839.5708    -0.4068    -0.5444    -0.7335     0.3682    -0.8326     0.4138    -0.8360    -0.1017     0.5392
   -5.5878  -232.5253  1839.0750    -0.3496    -0.6891    -0.6347     0.2466    -0.7213     0.6473    -0.9039     0.0697     0.4221
   -5.8269  -233.0628  1838.6640    -0.3222    -0.7994    -0.5071     0.0508    -0.5495     0.8340    -0.9453     0.2430     0.2177
   -6.0641  -233.6755  1838.3402    -0.3306    -0.8640    -0.3797    -0.2039    -0.3275     0.9226    -0.9215     0.3824    -0.0679
   -6.3277  -234.3418  1838.0935    -0.3686    -0.8873    -0.2773    -0.5125    -0.0549     0.8569    -0.7755     0.4580    -0.4345
   -6.6384  -235.0373  1837.9041    -0.4241    -0.8804    -0.2124    -0.7861     0.2414     0.5690    -0.4497     0.4083    -0.7944
   -7.0049  -235.7380  1837.7453    -0.4842    -0.8546    -0.1879    -0.8744     0.4800     0.0705     0.0299     0.1984    -0.9797
