Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   12.9391  -202.4672  1953.5092    -0.3535    -0.9282     0.1162     0.8985    -0.3715    -0.2340     0.2603     0.0217     0.9653
   12.8868  -202.6098  1953.5266    -0.3295    -0.9375     0.1117     0.9314    -0.3422    -0.1244     0.1549     0.0630     0.9859
   12.8358  -202.7632  1953.5445    -0.2963    -0.9489     0.1087     0.9504    -0.3042    -0.0645     0.0943     0.0842     0.9920
   12.7988  -202.8887  1953.5586    -0.2658    -0.9583     0.1050     0.9463    -0.2802    -0.1615     0.1842     0.0565     0.9813
   12.7628  -203.0288  1953.5735    -0.2282    -0.9684     0.1003     0.9685    -0.2363    -0.0780     0.0993     0.0794     0.9919
   12.7307  -203.1807  1953.5888    -0.1829    -0.9785     0.0952     0.9701    -0.1954    -0.1442     0.1597     0.0660     0.9850
   12.7051  -203.3415  1953.6038    -0.1280    -0.9878     0.0884     0.9854    -0.1367    -0.1014     0.1123     0.0741     0.9909
   12.6891  -203.5082  1953.6180    -0.0613    -0.9949     0.0799     0.9860    -0.0728    -0.1502     0.1553     0.0695     0.9854
   12.6851  -203.6776  1953.6307     0.0167    -0.9974     0.0698     0.9941     0.0091    -0.1078     0.1069     0.0712     0.9917
   12.6956  -203.8465  1953.6416     0.1096    -0.9923     0.0577     0.9839     0.1001    -0.1481     0.1411     0.0730     0.9873
   12.7227  -204.0117  1953.6500     0.2160    -0.9755     0.0424     0.9687     0.2086    -0.1348     0.1227     0.0701     0.9900
   12.7680  -204.1703  1953.6556     0.3351    -0.9419     0.0248     0.9333     0.3282    -0.1454     0.1288     0.0719     0.9891
   12.8327  -204.3192  1953.6580     0.4622    -0.8868     0.0044     0.8777     0.4568    -0.1446     0.1262     0.0707     0.9895
   12.9174  -204.4559  1953.6570     0.5898    -0.8074    -0.0169     0.7986     0.5863    -0.1357     0.1195     0.0666     0.9906
   13.0222  -204.5779  1953.6525     0.7092    -0.7040    -0.0393     0.6931     0.7063    -0.1440     0.1291     0.0749     0.9888
   13.1468  -204.6832  1953.6443     0.8109    -0.5821    -0.0600     0.5738     0.8110    -0.1137     0.1149     0.0578     0.9917
   13.2902  -204.7701  1953.6327     0.8892    -0.4509    -0.0776     0.4412     0.8899    -0.1155     0.1212     0.0684     0.9903
   13.4509  -204.8373  1953.6177     0.9434    -0.3185    -0.0931     0.3097     0.9458    -0.0976     0.1191     0.0633     0.9909
   13.6272  -204.8838  1953.5995     0.9760    -0.1911    -0.1047     0.1835     0.9799    -0.0783     0.1176     0.0572     0.9914
   13.8168  -204.9092  1953.5785     0.9907    -0.0765    -0.1127     0.0702     0.9958    -0.0590     0.1168     0.0505     0.9919
   14.0173  -204.9134  1953.5551     0.9922     0.0369    -0.1188    -0.0429     0.9979    -0.0477     0.1168     0.0524     0.9918
   14.1847  -204.9002  1953.5347     0.9863     0.1117    -0.1218    -0.1158     0.9929    -0.0273     0.1179     0.0410     0.9922
   14.4404  -204.8603  1953.5027     0.9715     0.2020    -0.1236    -0.2055     0.9785    -0.0155     0.1178     0.0404     0.9922
   14.6575  -204.8050  1953.4747     0.9513     0.2823    -0.1240    -0.2835     0.9589     0.0089     0.1214     0.0267     0.9922
   14.8749  -204.7323  1953.4462     0.9301     0.3464    -0.1224    -0.3442     0.9381     0.0396     0.1285     0.0053     0.9917
   15.0901  -204.6441  1953.4178     0.9065     0.4047    -0.1202    -0.4043     0.9142     0.0285     0.1214     0.0228     0.9923
   15.3010  -204.5426  1953.3898     0.8825     0.4555    -0.1168    -0.4467     0.8897     0.0949     0.1471    -0.0316     0.9886
   15.5059  -204.4300  1953.3629     0.8587     0.5001    -0.1119    -0.4914     0.8655     0.0971     0.1454    -0.0284     0.9890
   15.7035  -204.3088  1953.3374     0.8358     0.5386    -0.1065    -0.5230     0.8401     0.1439     0.1670    -0.0646     0.9838
   15.8927  -204.1815  1953.3137     0.8151     0.5706    -0.1002    -0.5479     0.8154     0.1867     0.1883    -0.0973     0.9773
   16.0732  -204.0508  1953.2921     0.7975     0.5962    -0.0922    -0.5441     0.7769     0.3169     0.2606    -0.2026     0.9440
   16.2448  -203.9192  1953.2731     0.7843     0.6148    -0.0828    -0.5135     0.7183     0.4695     0.3481    -0.3257     0.8790
   16.4080  -203.7893  1953.2568     0.7764     0.6260    -0.0726    -0.3779     0.5547     0.7413     0.5044    -0.5481     0.6672
   16.5636  -203.6632  1953.2434     0.7754     0.6285    -0.0604     0.2467    -0.2135     0.9453     0.5813    -0.7479    -0.3206
   16.7128  -203.5433  1953.2331     0.7825     0.6209    -0.0469     0.4943    -0.5736     0.6532     0.3787    -0.5343    -0.7557
   16.8569  -203.4314  1953.2259     0.7975     0.6026    -0.0313     0.5389    -0.6879     0.4862     0.2715    -0.4046    -0.8733
   16.9976  -203.3291  1953.2220     0.8213     0.5704    -0.0131     0.5352    -0.7624     0.3637     0.1975    -0.3057    -0.9314
   17.1367  -203.2379  1953.2214     0.8521     0.5234     0.0061     0.4989    -0.8157     0.2928     0.1582    -0.2464    -0.9562
   17.2760  -203.1587  1953.2240     0.8865     0.4620     0.0269     0.4376    -0.8557     0.2762     0.1506    -0.2331    -0.9607
   17.4172  -203.0922  1953.2299     0.9208     0.3870     0.0484     0.3667    -0.9014     0.2302     0.1327    -0.1942    -0.9719
   17.5622  -203.0387  1953.2390     0.9505     0.3030     0.0691     0.2816    -0.9338     0.2208     0.1314    -0.1904    -0.9729
   17.7124  -202.9982  1953.2513     0.9724     0.2162     0.0879     0.1966    -0.9618     0.1903     0.1257    -0.1678    -0.9778
   17.8691  -202.9704  1953.2667     0.9856     0.1332     0.1043     0.1112    -0.9746     0.1944     0.1276    -0.1800    -0.9754
   18.0332  -202.9546  1953.2852     0.9913     0.0595     0.1178     0.0402    -0.9864     0.1595     0.1257    -0.1534    -0.9801
   18.2055  -202.9499  1953.3066     0.9917    -0.0027     0.1284    -0.0263    -0.9829     0.1824     0.1257    -0.1843    -0.9748
   18.3862  -202.9551  1953.3309     0.9892    -0.0516     0.1375    -0.0767    -0.9799     0.1839     0.1253    -0.1925    -0.9733
   18.5753  -202.9687  1953.3580     0.9854    -0.0884     0.1454    -0.1226    -0.9614     0.2464     0.1181    -0.2607    -0.9582
   18.7724  -202.9892  1953.3879     0.9817    -0.1140     0.1526    -0.1552    -0.9432     0.2936     0.1104    -0.3119    -0.9437
   18.9768  -203.0148  1953.4204     0.9786    -0.1303     0.1593    -0.1935    -0.8457     0.4973     0.0700    -0.5175    -0.8528
   19.1875  -203.0439  1953.4555     0.9764    -0.1380     0.1660    -0.2073    -0.3851     0.8993    -0.0601    -0.9125    -0.4046
   19.4033  -203.0745  1953.4929     0.9753    -0.1380     0.1726    -0.1251     0.2989     0.9460    -0.1821    -0.9442     0.2743
   19.6228  -203.1050  1953.5326     0.9748    -0.1316     0.1801     0.0002     0.8080     0.5891    -0.2231    -0.5743     0.7877
   19.8443  -203.1335  1953.5744     0.9750    -0.1183     0.1879     0.0251     0.8995     0.4363    -0.2206    -0.4207     0.8800
   20.0665  -203.1584  1953.6181     0.9756    -0.0993     0.1958     0.0260     0.9378     0.3462    -0.2180    -0.3327     0.9175
   20.2876  -203.1782  1953.6634     0.9761    -0.0743     0.2042     0.0107     0.9550     0.2964    -0.2171    -0.2871     0.9330
   20.5061  -203.1916  1953.7101     0.9760    -0.0449     0.2131    -0.0176     0.9591     0.2826    -0.2171    -0.2796     0.9353
   20.7207  -203.1974  1953.7580     0.9749    -0.0046     0.2225    -0.0385     0.9812     0.1891    -0.2192    -0.1929     0.9564
   20.9774  -203.1919  1953.8180     0.9719     0.0411     0.2318    -0.0894     0.9752     0.2022    -0.2178    -0.2173     0.9515
   21.1337  -203.1827  1953.8558     0.9682     0.0771     0.2378    -0.1127     0.9838     0.1397    -0.2232    -0.1620     0.9612
   21.3304  -203.1609  1953.9051     0.9602     0.1345     0.2450    -0.1644     0.9807     0.1060    -0.2260    -0.1421     0.9637
   21.5200  -203.1290  1953.9542     0.9498     0.1885     0.2495    -0.2096     0.9759     0.0605    -0.2321    -0.1098     0.9665
   21.7023  -203.0870  1954.0027     0.9358     0.2464     0.2519    -0.2599     0.9654     0.0213    -0.2380    -0.0854     0.9675
   21.8774  -203.0350  1954.0503     0.9185     0.3048     0.2519    -0.3091     0.9507    -0.0232    -0.2465    -0.0566     0.9675
   22.0458  -202.9732  1954.0967     0.8986     0.3618     0.2481    -0.3474     0.9322    -0.1013    -0.2680     0.0049     0.9634
   22.2081  -202.9021  1954.1414     0.8771     0.4159     0.2405    -0.3870     0.9082    -0.1593    -0.2847     0.0467     0.9575
   22.3651  -202.8222  1954.1841     0.8553     0.4642     0.2303    -0.4186     0.8809    -0.2208    -0.3054     0.0924     0.9477
   22.5179  -202.7344  1954.2246     0.8348     0.5061     0.2168    -0.4224     0.8412    -0.3376    -0.3532     0.1903     0.9160
   22.6676  -202.6392  1954.2625     0.8160     0.5419     0.2012    -0.4432     0.8099    -0.3842    -0.3712     0.2243     0.9011
   22.8151  -202.5376  1954.2977     0.8009     0.5700     0.1836    -0.3735     0.7152    -0.5907    -0.4680     0.4045     0.7857
   22.9618  -202.4303  1954.3298     0.7891     0.5918     0.1646    -0.3804     0.6812    -0.6255    -0.4824     0.4310     0.7626
   23.1085  -202.3181  1954.3588     0.7813     0.6070     0.1450    -0.1843     0.4464    -0.8756    -0.5963     0.6574     0.4607
   23.2564  -202.2019  1954.3844     0.7770     0.6169     0.1254    -0.2073     0.4389    -0.8743    -0.5944     0.6533     0.4689
   23.4060  -202.0823  1954.4065     0.7758     0.6227     0.1020     0.0460     0.1055    -0.9934    -0.6293     0.7754     0.0532
   23.5158  -201.9941  1954.4198     0.7764     0.6241     0.0878     0.0373     0.0935    -0.9949    -0.6291     0.7757     0.0493
   23.7129  -201.8358  1954.4398     0.7789     0.6237     0.0659     0.1389    -0.0690    -0.9879    -0.6116     0.7786    -0.1403
   23.8707  -201.7099  1954.4508     0.7820     0.6217     0.0443     0.1494    -0.1179    -0.9817    -0.6051     0.7743    -0.1851
   24.0312  -201.5828  1954.4580     0.7851     0.6189     0.0254     0.1689    -0.1744    -0.9701    -0.5959     0.7659    -0.2414
   24.1943  -201.4548  1954.4612     0.7877     0.6160     0.0058     0.0863    -0.1010    -0.9911    -0.6100     0.7812    -0.1328
   24.3592  -201.3262  1954.4604     0.7894     0.6137    -0.0137     0.0853    -0.1317    -0.9876    -0.6079     0.7785    -0.1563
   24.5254  -201.1972  1954.4554     0.7895     0.6128    -0.0339    -0.0716     0.0372    -0.9967    -0.6095     0.7894     0.0733
   24.6919  -201.0677  1954.4461     0.7874     0.6141    -0.0543    -0.1381     0.0899    -0.9863    -0.6008     0.7841     0.1555
   24.8576  -200.9379  1954.4324     0.7833     0.6169    -0.0760    -0.2203     0.1613    -0.9620    -0.5813     0.7703     0.2622
   25.0216  -200.8077  1954.4140     0.7764     0.6223    -0.0994    -0.3269     0.2629    -0.9078    -0.5388     0.7373     0.4075
   25.1827  -200.6770  1954.3907     0.7666     0.6301    -0.1241    -0.3804     0.2897    -0.8783    -0.5174     0.7205     0.4617
   25.3399  -200.5458  1954.3623     0.7536     0.6397    -0.1512    -0.4383     0.3177    -0.8408    -0.4898     0.6999     0.5198
   25.4921  -200.4141  1954.3285     0.7372     0.6511    -0.1803    -0.4872     0.3275    -0.8095    -0.4681     0.6847     0.5587
   25.6385  -200.2818  1954.2891     0.7170     0.6641    -0.2119    -0.5323     0.3254    -0.7815    -0.4501     0.6731     0.5868
   25.7782  -200.1489  1954.2438     0.6930     0.6777    -0.2459    -0.5632     0.2960    -0.7715    -0.4501     0.6731     0.5868
   25.9108  -200.0154  1954.1923     0.6656     0.6907    -0.2828    -0.5849     0.2473    -0.7725    -0.4636     0.6796     0.5686
   26.0359  -199.8814  1954.1342     0.6348     0.7026    -0.3213    -0.6262     0.2244    -0.7467    -0.4525     0.6752     0.5825
   26.1533  -199.7470  1954.0695     0.6014     0.7128    -0.3608    -0.6424     0.1630    -0.7488    -0.4750     0.6821     0.5559
   26.2631  -199.6123  1953.9978     0.5666     0.7192    -0.4022    -0.6352     0.0703    -0.7692    -0.5249     0.6913     0.4966
   26.3656  -199.4777  1953.9189     0.5311     0.7225    -0.4426    -0.6818     0.0544    -0.7295    -0.5030     0.6892     0.5215
   26.4611  -199.3432  1953.8329     0.4958     0.7222    -0.4822    -0.6447    -0.0658    -0.7616    -0.5818     0.6885     0.4330
   26.5503  -199.2092  1953.7395     0.4632     0.7171    -0.5208    -0.6378    -0.1382    -0.7577    -0.6153     0.6831     0.3933
   26.6340  -199.0761  1953.6389     0.4341     0.7082    -0.5568    -0.5916    -0.2421    -0.7691    -0.6794     0.6633     0.3138
   26.7131  -198.9442  1953.5311     0.4088     0.6960    -0.5903    -0.5629    -0.3169    -0.7634    -0.7184     0.6444     0.2622
   26.7885  -198.8137  1953.4163     0.3879     0.6809    -0.6212    -0.4698    -0.4338    -0.7688    -0.7930     0.5901     0.1516
   26.8611  -198.6851  1953.2947     0.3719     0.6634    -0.6493    -0.3931    -0.5211    -0.7576    -0.8409     0.5370     0.0670
   26.9319  -198.5586  1953.1667     0.3611     0.6444    -0.6741    -0.2509    -0.6291    -0.7358    -0.8981     0.4348    -0.0655
   27.0018  -198.4346  1953.0327     0.3544     0.6243    -0.6962    -0.1850    -0.6830    -0.7066    -0.9166     0.3792    -0.1265
   27.0715  -198.3132  1952.8931     0.3516     0.6036    -0.7156    -0.0079    -0.7624    -0.6470    -0.9361     0.2331    -0.2633
   27.1418  -198.1947  1952.7484     0.3525     0.5826    -0.7323     0.0787    -0.7982    -0.5972    -0.9325     0.1529    -0.3272
   27.2132  -198.0792  1952.5992     0.3558     0.5626    -0.7463     0.1959    -0.8257    -0.5290    -0.9138     0.0420    -0.4040
   27.2861  -197.9667  1952.4461     0.3608     0.5432    -0.7581     0.2334    -0.8396    -0.4905    -0.9030    -0.0000    -0.4297
   27.3606  -197.8573  1952.2897     0.3666     0.5251    -0.7681     0.3129    -0.8470    -0.4297    -0.8762    -0.0828    -0.4748
   27.4368  -197.7508  1952.1306     0.3730     0.5089    -0.7758     0.3679    -0.8487    -0.3799    -0.8518    -0.1437    -0.5038
   27.5145  -197.6471  1951.9695     0.3781     0.4944    -0.7827     0.2281    -0.8691    -0.4389    -0.8972    -0.0126    -0.4414
   27.5933  -197.5460  1951.8067     0.3828     0.4818    -0.7883     0.4269    -0.8489    -0.3115    -0.8193    -0.2173    -0.5307
   27.6730  -197.4473  1951.6430     0.3859     0.4720    -0.7926     0.0416    -0.8673    -0.4961    -0.9216     0.1585    -0.3544
   27.7528  -197.3505  1951.4787     0.3861     0.4648    -0.7968    -0.0174    -0.8599    -0.5101    -0.9223     0.2108    -0.3239
   27.8322  -197.2553  1951.3142     0.3844     0.4601    -0.8004    -0.5734    -0.5605    -0.5976    -0.7235     0.6886     0.0484
   27.9105  -197.1613  1951.1499     0.3795     0.4580    -0.8038    -0.8666    -0.1282    -0.4822    -0.3239     0.8796     0.3483
   27.9869  -197.0682  1950.9861     0.3715     0.4581    -0.8075    -0.9253     0.1107    -0.3628    -0.0768     0.8820     0.4650
   28.0608  -196.9755  1950.8228     0.3605     0.4613    -0.8107    -0.9091     0.3682    -0.1947     0.2087     0.8073     0.5521
   28.1316  -196.8827  1950.6603     0.3468     0.4664    -0.8137    -0.9212     0.3325    -0.2021     0.1763     0.8197     0.5450
   28.1988  -196.7895  1950.4985     0.3296     0.4734    -0.8169    -0.9099     0.3900    -0.1412     0.2518     0.7898     0.5593
   28.2618  -196.6955  1950.3374     0.3106     0.4815    -0.8196    -0.9129     0.3914    -0.1160     0.2649     0.7842     0.5611
   28.3206  -196.6005  1950.1769     0.2899     0.4905    -0.8218    -0.9136     0.3977    -0.0849     0.2852     0.7754     0.5634
   28.3748  -196.5041  1950.0168     0.2674     0.5003    -0.8236    -0.9154     0.3988    -0.0549     0.3010     0.7686     0.5646
   28.4245  -196.4062  1949.8570     0.2453     0.5095    -0.8248    -0.9283     0.3687    -0.0483     0.2795     0.7775     0.5634
   28.4699  -196.3067  1949.6973     0.2242     0.5188    -0.8250    -0.8965     0.4418     0.0342     0.3822     0.7319     0.5641
   28.5114  -196.2053  1949.5375     0.2042     0.5275    -0.8247    -0.9352     0.3540    -0.0051     0.2893     0.7723     0.5656
   28.5493  -196.1022  1949.3774     0.1873     0.5342    -0.8244    -0.9195     0.3906     0.0442     0.3456     0.7497     0.5643
   28.5845  -195.9975  1949.2168     0.1739     0.5402    -0.8234    -0.9015     0.4239     0.0877     0.3964     0.7270     0.5607
   28.6175  -195.8911  1949.0555     0.1638     0.5449    -0.8224    -0.9064     0.4122     0.0925     0.3894     0.7302     0.5614
   28.6492  -195.7834  1948.8935     0.1583     0.5480    -0.8214    -0.7662     0.5929     0.2478     0.6228     0.5901     0.5137
   28.6804  -195.6745  1948.7307     0.1572     0.5497    -0.8204     0.9222     0.2155     0.3212     0.3534    -0.8071    -0.4731
   28.7121  -195.5648  1948.5671     0.1613     0.5499    -0.8195     0.9828    -0.0138     0.1842     0.0899    -0.8351    -0.5427
   28.7452  -195.4545  1948.4028     0.1691     0.5495    -0.8182     0.9854    -0.0774     0.1516     0.0200    -0.8319    -0.5546
   28.7804  -195.3439  1948.2380     0.1812     0.5474    -0.8170     0.9731    -0.2201     0.0683    -0.1424    -0.8074    -0.5726
   28.8187  -195.2334  1948.0727     0.1976     0.5439    -0.8155     0.9746    -0.1985     0.1037    -0.1055    -0.8153    -0.5693
   28.8608  -195.1233  1947.9072     0.2176     0.5395    -0.8134     0.9674    -0.2297     0.1064    -0.1295    -0.8100    -0.5719
   28.9074  -195.0140  1947.7419     0.2404     0.5343    -0.8104     0.9665    -0.2090     0.1490    -0.0897    -0.8190    -0.5667
   28.9589  -194.9057  1947.5771     0.2654     0.5279    -0.8067     0.9517    -0.2775     0.1315    -0.1545    -0.8027    -0.5761
   29.0158  -194.7988  1947.4130     0.2927     0.5204    -0.8021     0.9510    -0.2455     0.1878    -0.0992    -0.8179    -0.5668
   29.0784  -194.6935  1947.2501     0.3219     0.5125    -0.7961     0.9408    -0.2673     0.2083    -0.1061    -0.8160    -0.5683
   29.1470  -194.5900  1947.0887     0.3517     0.5039    -0.7889     0.9313    -0.2739     0.2402    -0.0950    -0.8192    -0.5656
