Centerline IDX,Area,Filter radius
0,0.047365223464112205,3
1,3.4746150027858675,3
2,3.360769699537741,3
3,3.1736214672428105,3
4,2.52402121814157,3
5,2.560419607577387,3
6,2.5739966941791863,3
7,1.6139583069752916,3
8,1.8018048097292194,3
9,1.676414320969343,3
10,1.6104895322223456,3
11,1.5777367093805879,3
12,1.565426689013293,3
13,1.4307363177549632,3
14,1.3003462955748546,3
15,1.1619079608835818,3
16,1.0176847609509423,3
17,0.8912719403879237,3
18,0.7741970235119879,3
19,0.6729176572880533,3
20,0.5748477750421443,3
21,0.47174077898580435,3
22,0.37249031778719655,3
23,0.27305556269766385,3
24,0.17891426288679213,3
25,0.09841302186214307,3
26,0.032634404216878465,3
27,0.03400243133819458,3
28,0.05358564207745076,3
29,0.07089014348366618,3
30,0.08317292094852746,3
31,0.09208111228508642,3
32,0.09878671131991723,3
33,0.10769604772576713,3
34,0.12067633339938766,3
35,0.14145280037064367,3
36,0.17160900899853004,3
37,0.21539477533133322,3
38,0.26974569125377457,3
39,0.3417668482352383,3
40,0.428386159413094,3
41,0.5319777168506334,3
42,0.6525182981604303,3
43,0.7806665210018764,3
44,0.9140051015237987,3
45,1.0407452290610308,3
46,1.1584027256685658,3
47,1.2618385113710247,3
48,1.3472661417608833,3
49,1.413461792392809,3
50,1.4560423744997024,3
51,1.4965712228968187,3
52,1.5362371541687025,3
53,1.5668786040550913,3
54,1.5829171844252414,3
55,1.6060503063290525,3
56,1.6189021251766462,3
57,1.6227163382791332,3
58,1.619709503103877,3
59,1.6083767517202432,3
60,1.6116445914340147,3
61,1.6257668556172575,3
62,1.654470315641447,3
63,1.6997607553330454,3
64,1.7500741222702345,3
65,1.8125836765075292,3
66,1.8702020458758852,3
67,1.921980616336441,3
68,1.9606129463945763,3
69,1.997817655419567,3
70,2.027732499227568,3
71,2.0452068013701137,3
72,2.0510380417254055,3
73,2.044289671794104,3
74,2.0098149090181323,3
75,1.9695316058314347,3
76,1.9179664540733938,3
77,1.8789942103521753,3
78,1.8430679608691207,3
79,1.8304822281597808,3
80,1.8115546698027174,3
81,1.7870310850548776,3
82,1.7588408749079463,3
83,1.7206992531637297,3
84,1.6839812702810377,3
85,1.6582192158293765,3
86,1.6547538698268909,3
87,1.6636209686421353,3
88,1.6835837907274254,3
89,1.7193199913945136,3
90,1.7726455818028626,3
91,1.8171564986823796,3
92,1.8742478979256703,3
93,1.9314100441106348,3
94,1.9805160941778013,3
95,2.0385461672040037,3
96,2.0897853103879243,3
97,2.145738641920616,3
98,2.1709522375449524,3
