Centerline IDX,Volume,Distance,Filter radius
16,9.622760771588789,15,3
17,9.593783573143627,15,3
18,9.694579495310006,15,3
19,9.902014618090202,15,3
20,10.13965372046023,15,3
21,10.269771371124257,15,3
22,10.602034802532351,15,3
23,10.509843997653675,15,3
24,11.035924910965196,15,3
25,11.10707624165041,15,3
26,11.352542412569306,15,3
27,11.531624235407378,15,3
28,11.836057505362199,15,3
29,12.152989703750649,15,3
30,12.375583763558366,15,3
31,12.785527720196605,15,3
32,12.888990693953048,15,3
33,12.952976781110587,15,3
34,13.5283440313208,15,3
35,13.541355920961564,15,3
36,13.747584900208015,15,3
37,13.980165929214994,15,3
38,14.11289502180709,15,3
39,14.126403094542432,15,3
40,14.189721491389996,15,3
41,14.312188350796255,15,3
42,14.217890699293871,15,3
43,14.267853813929701,15,3
44,14.052330183643097,15,3
45,14.361923535672986,15,3
46,14.279276528252648,15,3
47,14.059739879978945,15,3
48,14.417034285225915,15,3
49,14.167565733393786,15,3
50,14.632636588126452,15,3
51,14.437856509319221,15,3
52,14.534907482554818,15,3
53,14.941325192071883,15,3
54,14.935777936669009,15,3
55,14.91396827271615,15,3
56,15.469500178182344,15,3
57,15.652724878322251,15,3
58,15.462204350233673,15,3
59,15.74766011622932,15,3
60,15.487768969931608,15,3
61,15.431373411412629,15,3
62,15.43933094780215,15,3
63,15.346527019883752,15,3
64,15.437089831518811,15,3
65,15.197460630878371,15,3
66,14.835958456738833,15,3
67,14.45862279635653,15,3
68,14.567228478522086,15,3
69,14.197288983071399,15,3
70,13.496638464440657,15,3
71,13.423512827684085,15,3
72,13.007853154327044,15,3
73,12.703735440536784,15,3
74,12.614715123970072,15,3
75,12.400851457329587,15,3
76,11.944653594607676,15,3
77,11.893601422016648,15,3
78,12.07896090345823,15,3
79,11.813748195160272,15,3
80,12.042740249680381,15,3
81,11.445284892352245,15,3
82,12.109153811274215,15,3
83,11.950167322543134,15,3
84,11.966890285968002,15,3
85,12.160079278197454,15,3
86,12.49095279221303,15,3
87,12.553598784241196,15,3
88,12.947054347492923,15,3
89,13.000438653532866,15,3
90,13.476764889772356,15,3
91,13.321081051109173,15,3
92,13.57804456969243,15,3
93,13.551945657375068,15,3
94,13.8979197617562,15,3
95,13.765031887454894,15,3
96,14.282692232096053,15,3
97,13.882393122241705,15,3
98,13.992984139485586,15,3
99,13.762051103763778,15,3
100,13.889365394943084,15,3
101,13.495088224328331,15,3
102,13.396319605518137,15,3
103,13.3074993510495,15,3
104,13.02129339173262,15,3
105,12.763063623987211,15,3
106,12.2861717698472,15,3
107,12.187352470469271,15,3
108,11.936606996282235,15,3
109,11.664853483713673,15,3
110,11.963376350152096,15,3
111,11.629168501506067,15,3
112,11.651161202576384,15,3
113,11.645360670979535,15,3
114,11.267610186733764,15,3
115,11.526505089821436,15,3
116,11.123347389822477,15,3
117,11.299467895270778,15,3
118,11.228568395097987,15,3
119,11.05279329455987,15,3
120,11.143491571948271,15,3
121,11.417662347697654,15,3
122,11.357217685325034,15,3
123,11.193196680100097,15,3
124,11.361537088203342,15,3
125,11.370344979584438,15,3
126,11.425575971543314,15,3
127,11.649392429467968,15,3
128,12.122498277107997,15,3
129,11.834631586124384,15,3
130,12.613789351915656,15,3
131,12.880222065747112,15,3
132,13.356537418016888,15,3
133,13.663334701761407,15,3
134,13.97000745064696,15,3
135,14.197053006840907,15,3
136,14.774950924291273,15,3
137,14.665885311631495,15,3
138,15.332631273816862,15,3
139,15.322569712698542,15,3
140,15.765929212772988,15,3
141,15.88324539140952,15,3
142,15.907307077314329,15,3
143,15.692220438507569,15,3
144,15.885608864515131,15,3
145,15.55934626396128,15,3
146,15.332005710736865,15,3
147,14.827692604322795,15,3
148,14.217073875039674,15,3
149,13.483458845180582,15,3
150,12.79337417228488,15,3
151,153.49856575869592,15,3
152,154.05334242454717,15,3
153,154.45761529807567,15,3
154,156.27021374014646,15,3
155,151.0329129369726,15,3
156,147.7185816646945,15,3
157,145.45091740318753,15,3
158,143.41868934472643,15,3
159,131.01140573428358,15,3
160,129.05366475390315,15,3
161,128.48477960804402,15,3
162,117.15415532369667,15,3
163,125.04937318089866,15,3
164,114.00603424209602,15,3
165,109.43760032724882,15,3
166,46.09631110689092,15,3
167,44.43349619847219,15,3
168,45.572140531668104,15,3
169,46.440367129123025,15,3
170,44.740916875681464,15,3
171,45.9817389205746,15,3
172,46.15461860992053,15,3
173,46.606737302694015,15,3
174,45.73135408150684,15,3
175,46.667326794413526,15,3
176,46.52612868073773,15,3
177,46.86970620906804,15,3
178,45.757647791137366,15,3
179,46.589577790668514,15,3
180,45.249981876248675,15,3
181,45.799476979689224,15,3
182,45.727219598178095,15,3
183,44.92499149519905,15,3
184,44.9903286747003,15,3
185,44.711961649933215,15,3
186,43.5785040357836,15,3
187,44.384987488174986,15,3
188,44.634513296443394,15,3
189,45.553858895910835,15,3
190,45.045363826845644,15,3
191,45.029008159884825,15,3
192,44.487748807537756,15,3
193,44.39482803450554,15,3
194,43.94434159122471,15,3
195,41.6853578707059,15,3
196,41.75769062896728,15,3
197,41.39811237849865,15,3
198,39.34841937146405,15,3
199,38.99803873323758,15,3
200,39.27413511648642,15,3
201,38.402418521149755,15,3
202,39.12611427127714,15,3
203,39.68609917193864,15,3
204,40.41082272939423,15,3
205,40.0671038916469,15,3
206,41.34261713703697,15,3
207,43.82499098768139,15,3
208,44.133168473846425,15,3
209,41.90596999711947,15,3
