Centerline IDX,Area,Filter radius
0,0.05775995089516073,3
1,4.377984606256177,3
2,3.8992262585334174,3
3,3.3578896558192355,3
4,2.6371324520632697,3
5,3.3431330580888243,3
6,2.8112436513310968,3
7,1.4813325899585834,3
8,2.2049683633140376,3
9,1.672830121714469,3
10,1.6068557328871975,3
11,1.5685362606636772,3
12,1.5556058534984913,3
13,1.4195335862368665,3
14,1.2898570536081024,3
15,1.1590373346944034,3
16,1.0225316625528649,3
17,0.8962544449941561,3
18,0.7786409392956557,3
19,0.6741452841461069,3
20,0.5735825061892683,3
21,0.47035580437932367,3
22,0.3714242809064672,3
23,0.2725990252029078,3
24,0.17910823673173581,3
25,0.09847249095491861,3
26,0.032732481987295614,3
27,0.03408577339268959,3
28,0.05364132446993608,3
29,0.07081802555785544,3
30,0.0831426967815787,3
31,0.09195063209426735,3
32,0.09866638497896929,3
33,0.10749089174896653,3
34,0.1209605710073447,3
35,0.14250286459628114,3
36,0.17279372809662163,3
37,0.21649278495624458,3
38,0.2705274840891434,3
39,0.34225450940175506,3
40,0.4286392863132278,3
41,0.5308690510219094,3
42,0.6509818988079132,3
43,0.7801339231837119,3
44,0.9151042191606393,3
45,1.0417494153043663,3
46,1.1554171232228327,3
47,1.2606922416098314,3
48,1.3456058557012511,3
49,1.4117943428618673,3
50,1.4511117619485958,3
51,1.4883392858373554,3
52,1.527742388409024,3
53,1.5598497643395604,3
54,1.5789406772855727,3
55,1.6001575564250743,3
56,1.6147998257729341,3
57,1.6205571084965413,3
58,1.6208239626621435,3
59,1.6130919077004364,3
60,1.6108882777025428,3
61,1.6209755022846366,3
62,1.6505400652040407,3
63,1.6967345433795344,3
64,1.7545011042084298,3
65,1.8144933369512728,3
66,1.8687787302596917,3
67,1.9158901059126947,3
68,1.9623314995587862,3
69,2.001730982229674,3
70,2.029211742647931,3
71,2.046171142905223,3
72,2.049786584011599,3
73,2.048128035780792,3
74,2.013967604064419,3
75,1.975076403012281,3
76,1.9298705263727243,3
77,1.8919280284017077,3
78,1.8558378889638334,3
79,1.8313953407759982,3
80,1.8082380886708052,3
81,1.7787147938452108,3
82,1.7474444705712813,3
83,1.7134037409969096,3
84,1.67886003294916,3
85,1.6548744852761956,3
86,1.6553913709012704,3
87,1.6719013618039753,3
88,1.6869435621383673,3
89,1.720308933715387,3
90,1.7703382418867477,3
91,1.8176808887446896,3
92,1.8760007098062488,3
93,1.9433017890969495,3
94,1.9909805395418516,3
95,2.055482249877059,3
96,2.098927012995773,3
97,2.148469714838029,3
98,2.170930831246551,3
99,2.1827360169017993,3
100,2.1832834095275757,3
101,2.1886944370407946,3
102,2.203932710996014,3
103,2.194847341645982,3
104,2.1740370613833875,3
105,2.1757721400108494,3
106,2.08061751101377,3
107,2.0015041278575154,3
108,1.9299745533035093,3
109,1.8522524510044605,3
110,1.7761392572729164,3
111,1.701338101131114,3
112,1.6338511875965196,3
113,1.5784765311018418,3
114,1.5329453757240117,3
115,1.5028141733746452,3
116,1.4907362259564252,3
117,1.483717978313507,3
118,1.4901485223635973,3
119,1.5250734571309295,3
120,1.5826109990666737,3
121,1.6706608271069854,3
122,1.7701649917762552,3
123,1.8738367212099547,3
124,1.9641234582577454,3
125,2.0243219442781992,3
126,2.0541807770823652,3
127,2.0586978355695464,3
128,2.0329751524659514,3
129,2.018652981130799,3
