Centerline IDX,Area,Filter radius
0,0.06564897199768893,3
1,4.714880048531995,3
2,4.3857396616595,3
3,3.816385886826538,3
4,3.229263119042116,3
5,2.9637713392721707,3
6,3.299131772011606,3
7,2.5036605835739465,3
8,1.7256303417407253,3
9,1.6600759057564574,3
10,1.5942831894217306,3
11,1.5561834361615183,3
12,1.5566224419544596,3
13,1.4336460882150277,3
14,1.3075833006478206,3
15,1.1689394877876111,3
16,1.0263796634635582,3
17,0.8926943307606052,3
18,0.7748704152791106,3
19,0.6726656937826192,3
20,0.5736176993541449,3
21,0.4724178591677628,3
22,0.37258044277132285,3
23,0.2732370345729578,3
24,0.1792353570481282,3
25,0.0982919797543218,3
26,0.03250844044032419,3
27,0.0338191080300021,3
28,0.05334373737787246,3
29,0.07050895723114081,3
30,0.08264367057108757,3
31,0.09149371021067054,3
32,0.09850857556466508,3
33,0.10727637899799447,3
34,0.12061606065435626,3
35,0.14120806474511483,3
36,0.17121703628708929,3
37,0.2153806321848606,3
38,0.26937100856139296,3
39,0.3416881664743414,3
40,0.4276033838850708,3
41,0.5303042316127176,3
42,0.6500140362195452,3
43,0.7774033889299972,3
44,0.9099119659567805,3
45,1.036686757969619,3
46,1.1537951394793708,3
47,1.2590828321954177,3
48,1.3440428496523964,3
49,1.4064762437183163,3
50,1.4484836040401206,3
51,1.4869328789354768,3
52,1.5278931920411196,3
53,1.562367286931476,3
54,1.5788659922218358,3
55,1.6012557791964355,3
56,1.614167631948476,3
57,1.619055762791504,3
58,1.6181008423145613,3
59,1.6083060752680467,3
60,1.6052420981768591,3
61,1.6193073685280979,3
62,1.6509528363876598,3
63,1.6986540790830986,3
64,1.7542168084128207,3
65,1.8162563309115285,3
66,1.869743227116487,3
67,1.9199183407636156,3
68,1.9651271277543856,3
69,2.003886220799359,3
70,2.032466744132762,3
71,2.041860853279104,3
72,2.044185580355588,3
73,2.03617107084483,3
74,2.005706423044103,3
75,1.9714879655048207,3
76,1.9247394520516536,3
77,1.8867756866238778,3
78,1.8525064823461435,3
79,1.8323911783072617,3
80,1.8116293568964466,3
81,1.7880667344988979,3
82,1.7603141126883202,3
83,1.7207714136739014,3
84,1.6818506921617882,3
85,1.6584176460664821,3
86,1.6532984031346132,3
87,1.6653803490880819,3
88,1.6814949290001096,3
89,1.7098799538425737,3
90,1.7616924932735856,3
91,1.8129189423125354,3
92,1.8702013930706016,3
93,1.9341888375065537,3
94,1.9920833566820875,3
95,2.0468298388677795,3
96,2.1046856758784998,3
97,2.152868518219293,3
98,2.1794050314711058,3
99,2.1895978656511943,3
100,2.1909843501189243,3
101,2.1922391420830536,3
102,2.205082148829206,3
103,2.2014999157036073,3
104,2.184761673768662,3
105,2.193639748633359,3
106,2.097025987213783,3
107,2.0120695843743306,3
108,1.9341784920734426,3
109,1.8542308749756558,3
110,1.7777908831549212,3
111,1.7038526278320205,3
112,1.6372587795012805,3
113,1.5830492997793044,3
114,1.5322807242591807,3
115,1.5013106825626892,3
116,1.4855578151727968,3
117,1.484294318688626,3
118,1.4957014308056387,3
119,1.526427028240505,3
120,1.5852777611635247,3
121,1.6657632874012052,3
122,1.7633911874818295,3
123,1.8651397643989185,3
124,1.9657458261426655,3
125,2.030605214271418,3
126,2.057890493328159,3
127,2.0614072318967374,3
128,2.042356739371826,3
129,2.032560308509346,3
130,2.017550905000462,3
131,2.0237411990765395,3
132,2.0277154173491,3
133,2.057978324659416,3
134,2.1037821014670044,3
135,2.164351082570647,3
136,2.2590526299700286,3
137,2.3972314354796254,3
138,2.573606585878224,3
139,2.7874961216948577,3
140,3.03192692392804,3
141,3.301988855982927,3
142,3.56880153871316,3
143,3.7947300390151213,3
144,3.986570002654844,3
145,4.140781926793352,3
146,4.248738086171215,3
147,4.312850179489033,3
148,4.293398566380347,3
149,4.229719007906169,3
150,4.163918405449294,3
151,4.126212070808833,3
152,4.078616378550578,3
153,4.026960046579916,3
154,3.9645496530501987,3
155,3.8775586832180124,3
156,3.771665460708391,3
157,3.6482513337014097,3
158,3.499051222926937,3
159,3.280820641111859,3
160,2.9773460785781936,3
161,2.580320591114287,3
162,2.151250284990965,3
163,1.7218102413189627,3
164,1.3281917087242618,3
165,0.9294748199481546,3
166,5.02970802451955,3
167,2.814522747230967,3
168,2.7062802333216496,3
169,2.61744323351968,3
170,2.603608940727554,3
171,2.5988241899440254,3
172,2.6427228875472792,3
173,2.7552636279046965,3
174,2.9019730694185455,3
175,3.052690938374326,3
176,3.2179659567445924,3
177,3.4129686993132964,3
178,3.619181425937768,3
179,3.841776189809025,3
180,4.07245313919384,3
181,4.323895184796584,3
182,4.590256119872265,3
183,4.862549517567004,3
184,5.146003802276937,3
185,5.422279894420171,3
186,5.692538224738655,3
187,5.9548259814387166,3
188,6.211173955046888,3
189,6.463040456844283,3
190,6.717332806792911,3
191,6.9897090179442785,3
192,7.273027815921978,3
193,7.588230685725193,3
194,7.931865877323162,3
195,8.330787828035682,3
196,8.792544706905574,3
197,9.289673682512785,3
198,9.796177561509921,3
199,10.311474684157929,3
200,10.85620571588106,3
201,11.395613768113435,3
202,12.286205479162163,3
203,12.554740091052736,3
204,12.638781143168671,3
205,12.0187905270609,3
206,10.884594299018318,3
207,10.092919608466218,3
208,9.567472511289907,3
209,9.358224731984137,3
210,9.224998582068565,3
211,9.41201804096545,3
212,9.831796056772419,3
213,10.534565806286992,3
214,11.635440057335472,3
215,13.271399440466212,3
216,15.205057026081704,3
217,16.126918277812365,3
218,16.719369037893102,3
219,16.27336528930573,3
220,16.81847617596759,3
221,15.774278232803226,3
222,12.811572460345815,3
223,0.8488920771592348,3
224,0.0,3
225,0.0,3
226,0.0,3
227,0.0,3
228,0.0,3
229,0.0,3
230,0.0,3
231,0.0,3
232,0.0,3
233,0.0,3
234,0.0,3
235,0.0,3
236,0.0,3
237,0.0,3
238,0.0,3
239,0.0,3
240,0.0,3
241,0.0006031739226273203,3
242,0.053406619364977814,3
243,0.06946389390350305,3
244,0.06757157322590501,3
245,0.07982462388326894,3
246,0.9966154257390372,3
247,0.2555995483580773,3
248,0.2985542437445474,3
249,0.3307057719812292,3
250,0.3623097777017392,3
251,0.38387353077359876,3
252,0.3942232022209282,3
253,0.3932085356218522,3
254,0.38446399064469006,3
255,0.3640149196735365,3
256,0.364975756039712,3
257,0.31434117822209373,3
258,0.2734414736405597,3
259,0.2293182091507333,3
260,0.17691940819804586,3
261,0.11888247542810859,3
262,0.1184579914142887,3
263,0.007137544588658784,3
264,0.09631163979429402,3
265,0.2024563706772824,3
266,0.32836170637347095,3
267,0.4827679402606009,3
268,0.6702403587260051,3
269,0.8928945708084939,3
270,1.1607794508408915,3
271,1.461351424660279,3
272,1.9168978389634503,3
273,2.1796615898419986,3
274,2.488774814551107,3
275,2.843066471939892,3
276,3.15533645900814,3
277,3.401609497197569,3
278,3.586189407871643,3
279,3.7159382203517453,3
280,3.8032675185386324,3
281,3.8754072855708728,3
282,3.9148002435995295,3
283,3.9434977181490467,3
284,3.958007638759227,3
285,3.917853616035245,3
286,3.851355077113112,3
287,3.7834648153357193,3
288,3.74735273045917,3
289,3.713940809177984,3
290,3.708310831959352,3
291,3.7478981344884232,3
292,3.8252075056498143,3
293,3.8951626560728982,3
294,3.9132488520608604,3
295,3.8544873328646645,3
296,3.7522400555781132,3
297,3.6015346426011092,3
298,3.452797440264476,3
299,3.3105799186741933,3
300,3.236245546628197,3
301,3.1774659876573423,3
302,3.1544927301474672,3
303,3.1774247056055174,3
304,3.2326120027000798,3
305,3.3116838227042535,3
306,3.3319833574651057,3
307,3.3016952852349277,3
308,3.176791184761896,3
309,3.0415666612307177,3
310,2.887522290419838,3
311,2.762249837044692,3
312,2.661335080916615,3
313,2.5948663048438902,3
314,2.5452277616486754,3
315,2.5072615326243977,3
316,2.474493854380853,3
317,2.439028672810309,3
318,2.406862604737398,3
319,2.382911335427707,3
320,2.3723537691048477,3
321,2.3660200759086365,3
322,2.3792058965609613,3
323,2.4013806253633447,3
324,2.487232328349819,3
325,2.464530433886466,3
326,2.5182497200021317,3
327,2.5849629587228264,3
328,2.675530950917164,3
329,2.7916908063380106,3
330,2.9426401392456683,3
331,3.1028083108622013,3
332,3.2640819949683646,3
333,3.50045638649226,3
334,3.685547535034857,3
335,3.887072925688699,3
336,4.111725400655814,3
337,4.285722840489143,3
338,4.436516291107182,3
339,4.535682523001924,3
340,4.576519292101693,3
341,4.561233797695422,3
342,4.490436373538614,3
343,4.306014631895778,3
344,4.021210274810073,3
345,3.7567518666601245,3
346,3.5963279737688936,3
347,3.520295112725762,3
348,3.502271087144436,3
349,3.5097793589320645,3
350,3.552051649401619,3
351,3.602548489140645,3
352,3.69582530392654,3
353,3.7926824761907483,3
354,3.890986780125786,3
355,3.9787151993186853,3
356,4.028171912185826,3
357,4.0472380189157775,3
358,4.060977609615293,3
359,4.037663773333406,3
360,3.9860133784904974,3
361,3.901457177575139,3
362,3.8048335161056457,3
363,3.7002325174644284,3
364,3.591190660331449,3
365,3.4954991903350674,3
366,3.4318610850687037,3
367,3.426609877107694,3
368,3.458445659406607,3
369,3.5296385238871153,3
370,3.6303623550638804,3
371,3.7443767366676184,3
372,3.8575231870636344,3
373,3.957060590752917,3
374,4.035052310435276,3
375,4.083614540078088,3
376,4.1072560763932415,3
377,4.114750549195378,3
378,4.128616000877628,3
379,4.1147979539273365,3
380,4.067234671609185,3
381,3.9874203639446932,3
382,3.8645859241269136,3
383,3.712587047686611,3
384,3.541023522647265,3
385,3.365459915570682,3
386,3.184369812251134,3
387,3.020491166111242,3
388,2.868970429187357,3
389,2.7069308925802034,3
390,2.5472264547479426,3
391,2.3862475074911345,3
392,2.228258507575447,3
393,2.0793407103965365,3
394,1.9585765183746844,3
395,1.853346009872439,3
396,1.7532084808626678,3
397,1.6572689801314482,3
398,1.5579671638242871,3
399,1.4563782181803617,3
400,1.3594896498361777,3
401,1.2618519125453531,3
402,1.1726637473284427,3
403,1.0802995621106675,3
404,0.9909975137679794,3
405,0.8990807424424929,3
406,0.8071883980383063,3
407,0.7123783094893952,3
408,0.6199248267666917,3
409,0.5224204114592794,3
410,0.4323877275774066,3
411,0.33439311705842556,3
412,0.23875819547174615,3
413,0.14373574620003637,3
414,0.05139902792961948,3
415,0.03809677748449758,3
416,0.1677289314529844,3
417,0.23086532391425862,3
418,0.3124607029676554,3
419,0.40482233767215803,3
420,0.5039715665798212,3
421,0.6078707647584451,3
422,0.7127206605355241,3
423,0.8157892619328777,3
424,0.8446907681009179,3
425,1.0231801415720838,3
426,1.1245214036098332,3
427,1.2098297007632937,3
428,1.2880972750390356,3
429,1.3587625933278105,3
430,1.4154046898866,3
431,1.4508091962725302,3
432,1.4641155100325705,3
433,1.4580779724965396,3
434,1.395735531950777,3
435,1.3480763914294585,3
436,1.2719180835483712,3
437,1.1794498745348392,3
438,1.0754476496531424,3
439,0.9665034820736764,3
440,0.8509151182070127,3
441,0.7368905735465887,3
442,0.6279422493835227,3
443,0.5264398770441403,3
444,0.4382320548502321,3
445,0.36190656338112603,3
446,0.30189950191470416,3
447,0.25322981102181075,3
448,0.22001885271856736,3
449,0.19821860780211864,3
450,0.19118194440943626,3
451,0.197261291011273,3
452,0.21359050205228414,3
453,0.24344545548683527,3
454,0.28113608024432324,3
455,0.3261493575391796,3
456,0.3820524764150832,3
457,0.4461657029205526,3
458,0.5190293996593027,3
459,0.6016321156430422,3
460,0.6938480091394013,3
461,0.786673607357443,3
462,0.8802238043126636,3
463,0.971853699778876,3
464,1.0569097615980354,3
465,1.1392641969696342,3
466,1.2206729068620916,3
467,1.2948778593145107,3
468,1.3606661934836666,3
469,1.4194781632959348,3
470,1.4689704756638093,3
471,1.5103986244357657,3
472,1.5430299560721323,3
473,1.5665855647566787,3
474,1.5766857804283063,3
475,1.5805492041527032,3
476,1.571768999863707,3
477,1.5628023777126145,3
478,1.5518831416220564,3
479,1.542827361644413,3
480,1.5440976325116935,3
481,1.5484996158702415,3
482,1.5553281007169062,3
483,1.5576364108383132,3
484,1.5648151734922067,3
485,1.5814132307050386,3
486,1.601593774518733,3
487,1.6379060385670527,3
488,1.67759208499956,3
489,1.7197311760937737,3
490,1.762566636113661,3
491,1.8031833427194215,3
492,1.8437462993742884,3
493,1.8855313072426725,3
494,1.92840808110941,3
495,1.9766437052321635,3
496,2.020893485328088,3
497,2.0792492702958043,3
498,2.1222415362135507,3
499,2.1500919570107726,3
500,2.1543197201808653,3
501,2.1203655850813448,3
502,2.0536980504984967,3
503,1.9508659770217491,3
504,1.7538640745333396,3
505,1.6376086995687729,3
506,1.4882503808248657,3
507,1.3126059991191141,3
508,1.1160003611112188,3
509,0.8997972071583717,3
510,0.6739396284156101,3
511,0.4424074377402576,3
512,0.2054390040511862,3
513,0.030535497617165674,3
514,0.2633007706954231,3
515,0.49178692539317126,3
516,0.7173445234293467,3
517,0.9498973441350245,3
518,1.1884000580093925,3
519,1.19909147596627,3
520,1.6980320742386539,3
521,1.9817260858562804,3
522,2.276684984831263,3
523,2.5768119156018656,3
524,2.8823067808452834,3
