Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (26.9037, -201.4906, 1864.2808) connects to:
    Branch Segment 2
    Branch Segment 5

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz       Dfit       Dmin       Dmax          C         Dh         Xh        Scf       Area          E
   19.0191  -204.4110  1859.1300     0.1724     0.9413     0.2902    -0.0899    -0.2783     0.9563     0.9809    -0.1910     0.0367    11.3762     6.9408    18.6034     0.1158     9.1952     0.4943    39.4921    90.7845     0.8641
   19.0572  -204.2022  1859.1974     0.1696     0.9337     0.3152    -0.1265    -0.2966     0.9466     0.9774    -0.2004     0.0678    11.3295     6.9484    18.2572     0.1203     9.2937     0.5090    39.1497    90.9614     0.8552
   19.0947  -203.9950  1859.2705     0.1673     0.9252     0.3407    -0.0444    -0.3382     0.9400     0.9849    -0.1724    -0.0155    11.2793     6.9630    17.8458     0.1225     9.3934     0.5264    38.7744    91.0562     0.8449
   19.1318  -203.7898  1859.3494     0.1653     0.9153     0.3673    -0.0951    -0.3559     0.9297     0.9817    -0.1886     0.0283    11.2397     6.9900    17.6368     0.1326     9.4521     0.5359    38.5303    91.0484     0.8339
   19.1683  -203.5873  1859.4342     0.1629     0.9043     0.3947    -0.0648    -0.3894     0.9188     0.9845    -0.1752    -0.0049    11.2205     7.0089    17.5833     0.1337     9.5100     0.5409    38.3958    91.2854     0.8214
   19.2043  -203.3878  1859.5249     0.1615     0.8921     0.4221    -0.0311    -0.4229     0.9056     0.9864    -0.1593    -0.0405    11.2183     7.0185    17.5936     0.1365     9.5637     0.5436    38.3634    91.7244     0.8077
   19.2399  -203.1919  1859.6214     0.1602     0.8783     0.4505    -0.0468    -0.4491     0.8922     0.9860    -0.1640    -0.0308    11.1926     7.0239    17.3670     0.1492     9.6637     0.5564    38.1412    92.1462     0.7895
   19.2751  -203.0000  1859.7239     0.1595     0.8629     0.4795     0.0011    -0.4859     0.8740     0.9872    -0.1389    -0.0784    11.1847     7.0197    17.0993     0.1489     9.7353     0.5693    38.0552    92.6195     0.7679
   19.3101  -202.8124  1859.8323     0.1594     0.8463     0.5083    -0.0027    -0.5145     0.8575     0.9872    -0.1381    -0.0798    11.2492     6.9895    17.0005     0.1542     9.8449     0.5791    38.2483    94.1378     0.7456
   19.3449  -202.6296  1859.9464     0.1594     0.8284     0.5370     0.0021    -0.5443     0.8389     0.9872    -0.1326    -0.0885    11.3334     6.9531    16.9569     0.1561    10.0230     0.5911    38.3982    96.2163     0.7209
   19.3796  -202.4519  1860.0661     0.1607     0.8085     0.5661     0.0670    -0.5812     0.8110     0.9847    -0.0924    -0.1476    11.3693     6.9579    17.3458     0.1687    10.1934     0.5877    38.3264    97.6693     0.6860
