Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   -0.5657  -171.4582  1703.6340     0.9252     0.3749     0.0584     0.0776    -0.0362    -0.9963    -0.3714     0.9264    -0.0626
   -0.0171  -171.2364  1703.6634     0.9267     0.3737     0.0406     0.0817    -0.0950    -0.9921    -0.3669     0.9227    -0.1186
    0.5871  -170.9938  1703.6829     0.9285     0.3710     0.0190     0.0800    -0.1498    -0.9855    -0.3627     0.9165    -0.1688
    1.3121  -170.7065  1703.6865     0.9308     0.3653    -0.0106     0.0762    -0.2225    -0.9720    -0.3574     0.9039    -0.2349
    2.1069  -170.3994  1703.6615     0.9339     0.3542    -0.0490     0.0724    -0.3215    -0.9442    -0.3502     0.8782    -0.3258
    2.9248  -170.0975  1703.5990     0.9375     0.3348    -0.0953     0.0654    -0.4384    -0.8964    -0.3419     0.8341    -0.4328
    3.7306  -169.8226  1703.4953     0.9413     0.3038    -0.1474     0.0555    -0.5698    -0.8199    -0.3331     0.7636    -0.5532
    4.5029  -169.5911  1703.3532     0.9451     0.2588    -0.1995     0.0512    -0.7204    -0.6917    -0.3227     0.6435    -0.6941
    5.2352  -169.4124  1703.1814     0.9489     0.2011    -0.2431     0.0518    -0.8595    -0.5085    -0.3112     0.4699    -0.8261
    5.9330  -169.2880  1702.9923     0.9534     0.1372    -0.2688     0.0776    -0.9722    -0.2211    -0.2916     0.1899    -0.9375
    6.6095  -169.2123  1702.7999     0.9594     0.0785    -0.2710     0.1310    -0.9747     0.1813    -0.2499    -0.2094    -0.9453
    7.2806  -169.1736  1702.6166     0.9670     0.0360    -0.2521     0.1955    -0.7392     0.6445    -0.1631    -0.6726    -0.7218
    7.9606  -169.1567  1702.4507     0.9752     0.0165    -0.2208     0.2200    -0.1868     0.9575    -0.0254    -0.9823    -0.1858
    8.6587  -169.1448  1702.3050     0.9818     0.0204    -0.1887     0.1607     0.4395     0.8837     0.1010    -0.8980     0.4283
    9.3784  -169.1227  1702.1765     0.9854     0.0424    -0.1647     0.0519     0.8473     0.5286     0.1619    -0.5295     0.8327
   10.1177  -169.0791  1702.0581     0.9853     0.0748    -0.1535    -0.0590     0.9927     0.1050     0.1603    -0.0944     0.9826
   10.8712  -169.0084  1701.9404     0.9817     0.1093    -0.1558    -0.1453     0.9593    -0.2421     0.1230     0.2603     0.9576
   11.6324  -168.9117  1701.8150     0.9761     0.1377    -0.1680    -0.2089     0.8069    -0.5525     0.0595     0.5744     0.8164
   12.3955  -168.7969  1701.6772     0.9711     0.1524    -0.1835    -0.2283     0.3712    -0.9001    -0.0691     0.9160     0.3952
   13.1565  -168.6778  1701.5284     0.9697     0.1475    -0.1945     0.0612    -0.9182    -0.3913    -0.2363     0.3675    -0.8995
   13.9130  -168.5722  1701.3765     0.9739     0.1197    -0.1928     0.1662    -0.9547     0.2470    -0.1545    -0.2726    -0.9496
   14.6631  -168.4989  1701.2357     0.9831     0.0671    -0.1704     0.1398    -0.8757     0.4621    -0.1182    -0.4781    -0.8703
   15.4048  -168.4757  1701.1241     0.9925    -0.0091    -0.1222     0.0637    -0.8135     0.5781    -0.1047    -0.5815    -0.8068
   16.1339  -168.5159  1701.0604     0.9936    -0.1033    -0.0465    -0.0467    -0.7475     0.6626    -0.1032    -0.6561    -0.7476
   16.8447  -168.6264  1701.0608     0.9778    -0.2037     0.0501    -0.1784    -0.6822     0.7090    -0.1102    -0.7022    -0.7034
   17.5303  -168.8068  1701.1355     0.9396    -0.3014     0.1623    -0.3174    -0.5897     0.7426    -0.1282    -0.7493    -0.6497
   18.1307  -169.0289  1701.2741     0.8932    -0.3704     0.2551    -0.4244    -0.5067     0.7504    -0.1487    -0.7785    -0.6098
   18.8028  -169.3381  1701.5068     0.8368    -0.4249     0.3453    -0.5169    -0.4050     0.7542    -0.1806    -0.8096    -0.5585
   19.3861  -169.6564  1701.7819     0.7882    -0.4550     0.4144    -0.5532    -0.2291     0.8009    -0.2695    -0.8605    -0.4323
   20.1883  -170.1344  1702.2428     0.7617    -0.4568     0.4595     0.0030     0.7117     0.7024    -0.6480    -0.5336     0.5435
   20.7765  -170.4807  1702.5984     0.7693    -0.4416     0.4616     0.5921     0.7642    -0.2558    -0.2398     0.4701     0.8494
   21.5311  -170.8899  1703.0306     0.8069    -0.4060     0.4290     0.5882     0.4862    -0.6462     0.0537     0.7738     0.6312
   22.0781  -171.1524  1703.3023     0.8369    -0.3869     0.3871     0.4787     0.1743    -0.8605     0.2655     0.9055     0.3311
   22.8837  -171.5155  1703.6457     0.8568    -0.3816     0.3468     0.1097    -0.5222    -0.8458     0.5038     0.7627    -0.4055
   23.2278  -171.6710  1703.7832     0.8545    -0.3950     0.3373    -0.2387    -0.8754    -0.4204     0.4613     0.2787    -0.8423
   23.8396  -171.9728  1704.0229     0.8347    -0.4397     0.3315    -0.5227    -0.8220     0.2260     0.1731    -0.3620    -0.9160
   24.4053  -172.2945  1704.2575     0.7965    -0.4942     0.3483    -0.5873    -0.7694     0.2512     0.1439    -0.4046    -0.9031
   24.9713  -172.6830  1704.5225     0.7410    -0.5592     0.3718    -0.6639    -0.6932     0.2806     0.1008    -0.4547    -0.8849
   25.5045  -173.1322  1704.8128     0.6636    -0.6344     0.3965    -0.7334    -0.6564     0.1771     0.1479    -0.4083    -0.9008
   25.8396  -173.4777  1705.0241     0.6166    -0.6750     0.4053    -0.7582    -0.6477     0.0749     0.2119    -0.3535    -0.9111
   26.4008  -174.1401  1705.4079     0.5587    -0.7265     0.4002    -0.7448    -0.6517    -0.1434     0.3650    -0.2179    -0.9051
   26.8398  -174.7618  1705.7293     0.5107    -0.7746     0.3732    -0.4451    -0.6095    -0.6560     0.7356     0.1689    -0.6561
   27.2483  -175.4095  1706.0130     0.4925    -0.8111     0.3156    -0.1112    -0.4183    -0.9015     0.8632     0.4089    -0.2962
   27.6202  -176.0342  1706.2218     0.4936    -0.8383     0.2315     0.0996    -0.2100    -0.9726     0.8640     0.5031    -0.0202
   27.9874  -176.6568  1706.3538     0.5062    -0.8535     0.1234     0.1211    -0.0713    -0.9901     0.8539     0.5161     0.0672
   28.3561  -177.2725  1706.3993     0.5175    -0.8557     0.0020     0.0631     0.0358    -0.9974     0.8534     0.5163     0.0725
   28.7268  -177.8820  1706.3580     0.5166    -0.8484    -0.1155    -0.0824     0.0851    -0.9930     0.8523     0.5225    -0.0259
   29.0886  -178.4805  1706.2409     0.5017    -0.8395    -0.2088    -0.2509     0.0898    -0.9638     0.8278     0.5360    -0.1656
   29.4510  -179.1056  1706.0580     0.4651    -0.8403    -0.2784    -0.6582    -0.1180    -0.7435     0.5919     0.5291    -0.6080
   29.9007  -179.9770  1705.7419     0.4183    -0.8494    -0.3219    -0.8834    -0.2980    -0.3616     0.2113     0.4356    -0.8750
   30.0916  -180.3808  1705.5877     0.3847    -0.8615    -0.3312    -0.9207    -0.3324    -0.2047     0.0662     0.3837    -0.9211
   30.3109  -180.9151  1705.3815     0.3381    -0.8781    -0.3385    -0.9302    -0.3664     0.0216    -0.1430     0.3076    -0.9407
   30.5809  -181.6534  1705.0990     0.3050    -0.8899    -0.3392    -0.9523    -0.2862    -0.1053    -0.0033     0.3551    -0.9348
   30.8205  -182.4001  1704.8116     0.2726    -0.8956    -0.3516    -0.7130     0.0573    -0.6988     0.6460     0.4412    -0.6229
   31.0194  -183.0686  1704.5387     0.2607    -0.8871    -0.3808    -0.1199     0.3616    -0.9246     0.9579     0.2867    -0.0120
   31.2107  -183.7144  1704.2412     0.2604    -0.8642    -0.4306     0.0609     0.4598    -0.8859     0.9636     0.2044     0.1723
   31.4010  -184.3275  1703.9047     0.2646    -0.8237    -0.5016     0.0427     0.5296    -0.8472     0.9634     0.2028     0.1753
   31.6025  -184.9316  1703.4932     0.2655    -0.7693    -0.5812    -0.0298     0.5960    -0.8025     0.9636     0.2304     0.1353
   31.7815  -185.4391  1703.0737     0.2569    -0.7166    -0.6485    -0.1661     0.6283    -0.7600     0.9521     0.3029     0.0424
   31.9624  -185.9437  1702.5752     0.2356    -0.6652    -0.7086    -0.3896     0.6033    -0.6959     0.8903     0.4400    -0.1171
   32.1271  -186.4262  1702.0322     0.2055    -0.6335    -0.7459    -0.6874     0.4491    -0.5708     0.6966     0.6301    -0.3432
   32.2700  -186.8987  1701.4607     0.1734    -0.6210    -0.7644    -0.9531     0.0896    -0.2890     0.2479     0.7787    -0.5763
   32.3902  -187.3729  1700.8807     0.1438    -0.6341    -0.7597    -0.6578    -0.6348     0.4054    -0.7393     0.4415    -0.5084
   32.4648  -187.7236  1700.4692     0.1320    -0.6502    -0.7482    -0.2410    -0.7532     0.6120    -0.9615     0.0995    -0.2561
   32.5920  -188.3590  1699.7688     0.1386    -0.6877    -0.7127     0.2562    -0.6703     0.6965    -0.9566    -0.2791     0.0833
   32.7029  -188.8758  1699.2623     0.1696    -0.7220    -0.6708     0.6767    -0.4096     0.6119    -0.7165    -0.5577     0.4191
   32.8445  -189.4049  1698.7937     0.2271    -0.7436    -0.6289     0.8360    -0.1823     0.5175    -0.4995    -0.6433     0.5803
   33.0329  -189.9399  1698.3581     0.3016    -0.7488    -0.5902     0.9151     0.0535     0.3997    -0.2677    -0.6606     0.7014
   33.2778  -190.4739  1697.9456     0.3798    -0.7358    -0.5607     0.9226     0.2573     0.2873    -0.0671    -0.6264     0.7766
   33.5803  -191.0013  1697.5442     0.4474    -0.7105    -0.5432     0.8862     0.4339     0.1624     0.1203    -0.5540     0.8238
   33.9325  -191.5196  1697.1427     0.4950    -0.6828    -0.5374     0.8117     0.5841     0.0055     0.3101    -0.4390     0.8433
   34.3190  -192.0295  1696.7338     0.5189    -0.6621    -0.5407     0.5760     0.7382    -0.3511     0.6317    -0.1293     0.7644
   34.7200  -192.5349  1696.3149     0.5203    -0.6544    -0.5486    -0.7160     0.0157    -0.6979     0.4654     0.7560    -0.4604
   35.1159  -193.0417  1695.8887     0.5032    -0.6618    -0.5556    -0.8493    -0.4974    -0.1767    -0.1595     0.5608    -0.8124
   35.4908  -193.5565  1695.4616     0.4728    -0.6828    -0.5569    -0.7952    -0.6029     0.0641    -0.3796     0.4126    -0.8281
   35.8357  -194.0849  1695.0419     0.4371    -0.7126    -0.5488    -0.7182    -0.6438     0.2640    -0.5415     0.2788    -0.7932
