Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   -0.3465  -220.1270  1734.1687    -0.5259    -0.2320    -0.8183     0.7613     0.3006    -0.5745     0.3793    -0.9251     0.0185
   -0.7761  -220.3183  1733.4781    -0.5036    -0.2280    -0.8333     0.8635    -0.1010    -0.4942     0.0285    -0.9684     0.2477
   -1.1938  -220.5127  1732.7728    -0.4897    -0.2352    -0.8396     0.5804    -0.8065    -0.1126    -0.6506    -0.5424     0.5315
   -1.6072  -220.7190  1732.0597    -0.4846    -0.2517    -0.8377     0.0598    -0.9650     0.2553    -0.8727     0.0736     0.4827
   -2.0218  -220.9437  1731.3461    -0.4855    -0.2743    -0.8301    -0.1138    -0.9216     0.3711    -0.8668     0.2746     0.4162
   -2.4396  -221.1896  1730.6382    -0.4883    -0.2988    -0.8199    -0.0926    -0.9165     0.3891    -0.8678     0.2659     0.4198
   -2.8582  -221.4555  1729.9396    -0.4880    -0.3214    -0.8115     0.1306    -0.9462     0.2962    -0.8630     0.0386     0.5037
   -3.2718  -221.7372  1729.2498    -0.4813    -0.3385    -0.8085     0.6109    -0.7910    -0.0325    -0.6286    -0.5096     0.5876
   -3.6731  -222.0278  1728.5652    -0.4671    -0.3478    -0.8129     0.8825    -0.2400    -0.4044    -0.0545    -0.9063     0.4190
   -4.0562  -222.3199  1727.8799    -0.4467    -0.3481    -0.8242     0.8404     0.1529    -0.5200     0.3070    -0.9249     0.2243
   -4.4187  -222.6069  1727.1875    -0.4242    -0.3399    -0.8394     0.7390     0.4057    -0.5378     0.5234    -0.8484     0.0791
   -4.7632  -222.8839  1726.4834    -0.4059    -0.3258    -0.8539     0.5685     0.6416    -0.5150     0.7156    -0.6944    -0.0752
   -5.0976  -223.1490  1725.7663    -0.3976    -0.3097    -0.8637     0.1240     0.9146    -0.3850     0.9091    -0.2602    -0.3252
   -5.4330  -223.4032  1725.0386    -0.4028    -0.2959    -0.8661    -0.7383     0.6643     0.1164     0.5410     0.6863    -0.4861
   -5.7815  -223.6501  1724.3067    -0.4217    -0.2880    -0.8598    -0.9064     0.1609     0.3906     0.0259     0.9440    -0.3289
   -6.1530  -223.8950  1723.5790    -0.4507    -0.2876    -0.8451    -0.8647    -0.0948     0.4933    -0.2220     0.9531    -0.2059
   -6.5531  -224.1440  1722.8642    -0.4840    -0.2955    -0.8237    -0.7801    -0.2808     0.5591    -0.3965     0.9132    -0.0946
   -6.9812  -224.4031  1722.1695    -0.5150    -0.3108    -0.7988    -0.6679    -0.4387     0.6013    -0.5373     0.8432     0.0184
   -7.4313  -224.6770  1721.4983    -0.5382    -0.3320    -0.7747    -0.4820    -0.6327     0.6061    -0.6914     0.6996     0.1805
   -7.8936  -224.9690  1720.8501    -0.5499    -0.3570    -0.7551    -0.1709    -0.8368     0.5201    -0.8176     0.4151     0.3992
   -8.3569  -225.2803  1720.2204    -0.5492    -0.3827    -0.7429     0.2435    -0.9237     0.2958    -0.7994    -0.0184     0.6005
   -8.8119  -225.6101  1719.6019    -0.5383    -0.4059    -0.7386     0.5844    -0.8112     0.0198    -0.6072    -0.4210     0.6739
   -9.2533  -225.9558  1718.9864    -0.5214    -0.4234    -0.7408     0.7797    -0.5892    -0.2121    -0.3467    -0.6882     0.6373
   -9.6804  -226.3133  1718.3666    -0.5040    -0.4333    -0.7472     0.8619    -0.3085    -0.4025    -0.0561    -0.8468     0.5289
  -10.0969  -226.6776  1717.7373    -0.4913    -0.4347    -0.7548     0.7394     0.2499    -0.6252     0.4604    -0.8652     0.1986
  -10.5093  -227.0428  1717.0964    -0.4859    -0.4286    -0.7617     0.1401     0.8221    -0.5519     0.8627    -0.3749    -0.3395
  -10.9238  -227.4034  1716.4447    -0.4877    -0.4166    -0.7672    -0.3148     0.9036    -0.2906     0.8143     0.0997    -0.5718
  -11.3445  -227.7541  1715.7848    -0.4936    -0.4009    -0.7717    -0.3629     0.9014    -0.2361     0.7903     0.1635    -0.5905
  -11.7713  -228.0913  1715.1198    -0.4997    -0.3839    -0.7765    -0.2835     0.9195    -0.2722     0.8185     0.0841    -0.5683
  -12.2006  -228.4129  1714.4522    -0.5018    -0.3674    -0.7831     0.0643     0.8870    -0.4573     0.8626    -0.2798    -0.4215
  -12.6255  -228.7190  1713.7829    -0.4969    -0.3535    -0.7925     0.4665     0.6612    -0.5875     0.7317    -0.6617    -0.1636
  -13.0389  -229.0118  1713.1111    -0.4844    -0.3430    -0.8048     0.7084     0.3860    -0.5909     0.5133    -0.8564     0.0560
  -13.4354  -229.2947  1712.4343    -0.4659    -0.3363    -0.8184     0.8228     0.1757    -0.5406     0.3256    -0.9252     0.1949
  -13.8137  -229.5723  1711.7499    -0.4461    -0.3331    -0.8307     0.8625     0.0877    -0.4983     0.2389    -0.9388     0.2482
  -14.1772  -229.8484  1711.0559    -0.4303    -0.3318    -0.8395     0.8815     0.0460    -0.4700     0.1946    -0.9422     0.2727
  -14.5335  -230.1256  1710.3517    -0.4234    -0.3308    -0.8434     0.6385     0.5515    -0.5368     0.6427    -0.7658    -0.0223
  -14.8921  -230.4041  1709.6389    -0.4270    -0.3277    -0.8428    -0.8464     0.4728     0.2450     0.3182     0.8180    -0.4792
