Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   44.3558  -170.6437  1840.3842     0.1956     0.5866    -0.7859    -0.1058     0.8093     0.5778     0.9750    -0.0298     0.2204
   44.3872  -170.5485  1840.2583     0.1948     0.5962    -0.7789    -0.0170     0.7960     0.6050     0.9807    -0.1046     0.1652
   44.4259  -170.4292  1840.1045     0.1955     0.6057    -0.7713     0.1439     0.7602     0.6335     0.9701    -0.2349     0.0614
   44.4648  -170.3080  1839.9518     0.1953     0.6135    -0.7652    -0.2182     0.7878     0.5759     0.9562     0.0545     0.2877
   44.5036  -170.1851  1839.7999     0.1948     0.6202    -0.7598     0.1295     0.7516     0.6467     0.9723    -0.2244     0.0661
   44.5425  -170.0607  1839.6487     0.1945     0.6259    -0.7553    -0.2632     0.7750     0.5745     0.9449     0.0871     0.3155
   44.5813  -169.9351  1839.4980     0.1940     0.6299    -0.7521     0.1975     0.7259     0.6588     0.9609    -0.2763     0.0164
   44.6202  -169.8087  1839.3476     0.1943     0.6323    -0.7500    -0.0292     0.7679     0.6398     0.9805    -0.1024     0.1677
   44.6592  -169.6818  1839.1973     0.1948     0.6329    -0.7493     0.7626    -0.5782    -0.2900    -0.6168    -0.5150    -0.5953
   44.6984  -169.5549  1839.0469     0.1960     0.6320    -0.7498     0.7402    -0.5969    -0.3096    -0.6432    -0.4943    -0.5847
   44.7379  -169.4283  1838.8963     0.1979     0.6293    -0.7516     0.4355    -0.7433    -0.5077    -0.8782    -0.2268    -0.4211
   44.7779  -169.3024  1838.7451     0.2006     0.6247    -0.7546     0.4522    -0.7424    -0.4944    -0.8690    -0.2421    -0.4315
   44.8185  -169.1777  1838.5933     0.2044     0.6178    -0.7593     0.3969    -0.7614    -0.5127    -0.8948    -0.1965    -0.4009
   44.8600  -169.0547  1838.4405     0.2097     0.6093    -0.7647     0.5284    -0.7287    -0.4357    -0.8227    -0.3127    -0.4747
   44.9026  -168.9337  1838.2868     0.2160     0.5986    -0.7714     0.3952    -0.7760    -0.4916    -0.8928    -0.1986    -0.4042
   44.9465  -168.8153  1838.1318     0.2233     0.5860    -0.7789     0.4970    -0.7559    -0.4262    -0.8385    -0.2919    -0.4601
   44.9919  -168.6997  1837.9756     0.2320     0.5716    -0.7870     0.4427    -0.7825    -0.4378    -0.8661    -0.2468    -0.4346
   45.0391  -168.5875  1837.8179     0.2419     0.5549    -0.7960     0.4831    -0.7803    -0.3971    -0.8415    -0.2885    -0.4569
